LMED,FMR,IPOV,BEDRMS,BUILT,STATUS,TYPE,VALUE,VACANCY,TENURE,NUNITS,ROOMS,WEIGHT,PER,ZINC2,ZADEQ,ZSMHC,STRUCTURETYPE,OWNRENT,TOTSAL,ASSISTED,GLMED,GL30,GL50,GL80,APLMED,ABL30,ABL50,ABL80,ABLMED,BURDEN,INCRELAMIPCT,INCRELAMICAT,INCRELPOVPCT,INCRELPOVCAT,INCRELFMRPCT,INCRELFMRCAT,COSTMedRELAMIPCT,COSTMedRELAMICAT,COSTMedRELPOVPCT,COSTMedRELPOVCAT,COSTMedRELFMRPCT,COSTMedRELFMRCAT,FMTZADEQ,FMTMETRO3,FMTBUILT,FMTSTRUCTURETYPE,FMTBEDRMS,FMTOWNRENT,FMTCOSTMEDRELPOVCAT,FMTINCRELPOVCAT,FMTCOSTMEDRELFMRCAT,FMTINCRELFMRCAT,FMTCOSTMEDRELAMICAT,FMTINCRELAMICAT,FMTASSISTED,FMTBURDEN,FMTREGION,FMTSTATUS
55846,949,15492,3,1985,'1',1,230000,-6,'1',1,5,2150.592362,2,85987,'1',1564,1,'1',60000,-9,55846,13750,22897,36614,44676.8,17875,29766.1,47598.2,58079.84,0.218265552,192.4645454,7,555.0413116,4,226.5200211,3,106.7499675,6,400.2079158,4,163.3303749,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
64362,1239,15452,5,2005,'1',1,200000,-6,'1',1,9,2791.995108,2,196974,'1',1493,1,'1',197000,-9,64362,15429,25701,41108,51489.6,24686.4,41121.6,65772.8,82383.36,0.090956167,382.5510394,7,1274.747606,4,397.4455206,3,82.7651065,5,441.2676394,4,137.5800558,3,'1 Adequate','Central City','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
64362,751,15492,2,2009,'1',1,-6,-6,'2',12,4,1934.565082,2,60974,'1',993,3,'2',61000,0,64362,15429,25701,41108,51489.6,17357.625,28913.625,46246.5,57925.8,0.195427559,118.4200305,6,393.5837852,4,202.976032,3,68.57048155,4,256.390395,4,132.2237017,3,'1 Adequate','Central City','2000-2009','3 5-19 units','2 2BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','4 60 - 80% AMI','6 100 - 120% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
64182,1002,18126,3,2007,'1',1,300000,-6,'1',1,7,2840.95499,3,92507,'1',1229,1,'1',30000,-9,64182,17221,28686,45888,57763.8,19899.82222,33148.26667,53026.13333,66749.28,0.159425773,160.1470125,7,510.3552907,4,230.8058882,3,118.0667119,6,434.7825231,4,196.6284434,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
64182,1114,24218,4,2009,'1',1,380000,-6,'1',1,9,2840.95499,4,184574,'1',2147,1,'1',181000,-9,64182,19110,31851,50952,64182,22167.6,36947.16,59104.32,74451.12,0.139586291,287.579072,7,762.1356016,4,414.2145422,3,139.8114858,7,429.8093032,4,233.5978839,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
64362,1239,11057,5,1985,'1',1,300000,-6,'1',1,9,2428.354692,1,66000,'1',2191,1,'1',40000,-9,64362,13514,22496,35977,45053.4,24711.31429,41135.54286,65786.51429,82383.36,0.398363636,146.4928285,7,596.9069368,4,133.1719128,3,112.8326725,6,840.6922926,4,187.5612324,3,'1 Adequate','Central City','1980-1989','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','7 120% AMI +','.','2 30% to 50%','-5','-5'
55846,706,18595,2,2005,'1',1,-6,-6,'2',8,4,2524.164373,3,41974,'1',600,3,'2',42000,0,55846,15473,25764,41189,50261.4,15473,25764,41189,50261.4,0.17153476,83.51140239,5,225.7273461,4,148.6331445,3,47.75036111,2,129.0669535,2,84.98583569,2,'1 Adequate','-5','2000-2009','3 5-19 units','2 2BR','2 Renter','2 100-150% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','2 30 - 50% AMI','5 80 - 100% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
77566,1277,18050,3,1980,'1',1,230000,-6,'1',1,6,2918.327087,3,94755,'1',1370,1,'1',89675,-9,77566,21190,35314,53446,69809.4,24486.22222,40807.28889,61759.82222,80668.64,0.173500079,135.7338697,7,524.9584488,4,185.5031323,3,85.03950274,5,380.0565669,4,134.2995504,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
63400,993,23828,3,1980,'1',1,150000,-6,'1',1,9,2534.642076,4,91961,'1',1308,1,'1',73000,-9,63400,19000,31700,50700,63400,19760,32968,52728,65936,0.17068105,145.0488959,7,385.9367131,4,231.5231621,3,70.04924988,4,193.8378101,3,116.2831657,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','3 150-200% Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
69500,975,11067,2,1980,'1',1,300000,-6,'1',1,5,2226.80362,1,28000,'1',355,1,'1',0,-9,69500,14850,24740,39151,48650,19092.85714,31808.57143,50337,62550,0.152142857,57.55395684,3,253.0044276,4,71.7948718,2,125.5454518,7,709.5751344,4,201.3555901,3,'1 Adequate','-5','1980-1989','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','2 50.1 - 100% FMR','7 120% AMI +','3 50 - 60% AMI','.','1 Less than 30%','West','-5'
59156,794,15439,2,2004,'1',1,60000,-6,'1',1,6,2880.506791,2,25441,'1',480,1,'1',0,-9,59156,14594,24335,38888,47324.8,16418.25,27376.875,43749,53240.4,0.226406195,53.75828318,3,164.7839886,3,80.10390428,2,34.08013969,2,117.5231731,2,57.1297314,2,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','2 100-150% Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','3 50 - 60% AMI','.','1 Less than 30%','West','-5'
56545,752,13984,2,2003,'1',1,40000,-6,'1',1,4,3152.342745,2,44340,'1',282,1,'1',0,-9,56545,14257,23765,37949,45236,16039.125,26735.625,42692.625,50890.5,0.076319351,98.01927668,5,317.076659,4,147.4069149,3,27.52236363,1,100.1592424,2,46.56339249,1,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','2 100-150% Poverty','4 200%+ Poverty','1 LTE 50% FMR','3 GT FMR','1 LTE 30% AMI','5 80 - 100% AMI','.','1 Less than 30%','West','-5'
59156,794,13936,2,1990,'1',1,290000,-6,'1',1,6,3304.581422,2,122975,'1',479,1,'1',0,-9,59156,14594,24335,38888,47324.8,16418.25,27376.875,43749,53240.4,0.046741208,259.8531848,7,882.4268083,4,387.2008816,3,144.4478498,7,551.8413678,4,242.1429881,3,'1 Adequate','-5','1990-1999','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','West','-5'
59156,1102,13964,3,1990,'1',1,230000,-6,'1',1,7,3522.801866,2,56343,'1',573,1,'1',0,-9,59156,14594,24335,38888,47324.8,18972.2,31635.5,50554.4,61522.24,0.12203823,119.0559707,6,403.4875394,4,127.819873,3,110.0201764,6,484.7241262,4,153.5546211,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','6 100 - 120% AMI','6 100 - 120% AMI','.','1 Less than 30%','West','-5'
62258,973,15470,3,2005,'1',1,260000,-6,'1',1,7,2703.395803,2,186107,'1',880,1,'1',150000,-9,62258,15086,25142,40197,49806.4,19611.8,32684.6,52256.1,64748.32,0.056741552,373.6608147,7,1203.018746,4,478.1783145,3,127.5025283,7,533.6505818,4,212.1165082,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
61292,718,15470,2,1990,'1',1,280000,-6,'1',1,6,4007.388181,2,62688,'1',887,1,'1',0,-9,61292,14823,24692,39484,49033.6,16675.875,27778.5,44419.5,55162.8,0.169793262,127.8470273,7,405.2230123,4,218.2729805,3,146.0474799,7,520.7749142,4,280.5148998,3,'1 Adequate','-5','1990-1999','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
56613,1349,30834,4,2004,'1',1,110000,-6,'1',1,7,2807.2076,6,69327,'1',1025,1,'1',69353,-9,56613,20190,33623,53783,65671.08,20190,33623,53783,65671.08,0.177420053,105.5670167,6,224.8394629,4,128.4785026,3,60.98281253,3,129.8828294,2,74.21807191,2,'1 Adequate','Central City','2000-2009','1 Single Family','4 4BR+','1 Owner','2 100-150% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','3 50 - 60% AMI','6 100 - 120% AMI','.','1 Less than 30%','-5','-5'
56613,868,-6,2,1980,'3',1,-6,1,'-6',24,5,1648.50752,-6,-6,'-6',-6,4,'2',-9,-9,56613,12190,20301,32462,-9,15672.85714,26101.28571,41736.85714,50951.7,-9,-9,-9,-9,-9,-9,-9,57.38768285,3,-9,-9,84.21658986,2,'-5','Central City','1980-1989','4 20-49 units','2 2BR','2 Renter','.','.','2 50.1 - 100% FMR','.','3 50 - 60% AMI','.','.','.','-5','-5'
60060,1528,15470,4,2007,'1',1,330000,-6,'1',1,10,2080.747516,2,199974,'1',2124,1,'1',200000,-9,60060,14883,24790,39658,48048,21580.35,35945.5,57504.1,69669.6,0.127456569,416.1963037,7,1292.656755,4,327.1825916,3,151.1527957,7,680.721061,4,172.2963811,3,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
60060,1282,12055,3,2012,'1',1,90000,-6,'1',1,6,4194.143162,1,99987,'1',797,1,'1',100000,-9,60060,13025,21697,34702,42042,19351.42857,32235.54286,51557.25714,62462.4,0.095652435,237.8264593,7,829.4234757,4,194.9824493,3,45.32316621,2,234.8397957,4,55.20658614,2,'1 Adequate','-5','After 2010','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','2 30 - 50% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
60060,1282,18639,3,1985,'1',1,100000,-6,'1',1,7,2023.995536,3,77000,'1',1275,1,'1',71000,-9,60060,16745,27889,44618,54054,19349.77778,32227.28889,51558.57778,62462.4,0.198701299,142.4501425,7,413.1122914,4,150.1560062,3,58.53228687,3,196.1514628,3,71.2961606,2,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','3 150-200% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','3 50 - 60% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
55846,949,18097,3,1990,'1',1,260000,-6,'1',1,10,3570.773875,3,86987,'1',342,1,'1',82423,-9,55846,15473,25764,41189,50261.4,17879.91111,29771.73333,47596.17778,58079.84,0.047179464,173.0691943,7,480.6708294,4,229.154373,3,122.8867223,7,394.3880846,4,188.0200518,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
62066,792,15923,2,2004,'1',1,150000,-6,'1',1,7,3736.447401,2,0,'1',351,1,'1',0,-9,62066,15049,25050,40074,49652.8,16930.125,28181.25,45083.25,55859.4,-1,0,1,0,1,0,1,76.63468171,4,268.8417597,4,135.1252317,3,'1 Adequate','-5','2000-2009','1 Single Family','2 2BR','1 Owner','4 200%+ Poverty','1 LTE Poverty','3 GT FMR','1 LTE 50% FMR','4 60 - 80% AMI','1 LTE 30% AMI','.','4 No Income','-5','-5'
61329,1032,15470,3,1980,'1',1,300000,-6,'1',1,7,2261.445448,2,59987,'1',496,1,'1',35000,-9,61329,14890,24784,39652,49063.2,19357,32219.2,51547.6,63782.16,0.099221498,122.2647524,7,387.7634131,4,145.317345,3,123.1932986,7,507.9207938,4,190.3472548,3,'1 Adequate','-5','1980-1989','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
66300,1158,15517,3,2007,'1',1,-6,-6,'2',200,6,5081.703183,2,9974,'1',1020,5,'2',10000,0,66300,15950,26550,42450,53040,20735,34515,55185,68952,1.227190696,18.80467572,1,64.27788877,1,21.5328152,1,59.17159763,3,262.9374235,4,88.08290155,2,'1 Adequate','Central City','2000-2009','5 50+ units','3 3BR','2 Renter','4 200%+ Poverty','1 LTE Poverty','2 50.1 - 100% FMR','1 LTE 50% FMR','3 50 - 60% AMI','1 LTE 30% AMI','0 Not Assisted','3 50% or More','-5','-5'
66300,737,12036,1,1990,'1',1,-6,-6,'2',60,3,3023.669904,1,30451,'1',922,5,'2',30464,0,66300,13950,23250,37150,46410,14946.42857,24910.71429,39803.57143,49725,0.363337821,65.61301444,4,252.9993353,4,103.2937585,3,74.16792358,4,306.4140911,4,125.1017639,3,'1 Adequate','Central City','1990-1999','5 50+ units','1 1BR','2 Renter','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','4 60 - 80% AMI','4 60 - 80% AMI','0 Not Assisted','2 30% to 50%','-5','-5'
66300,874,15470,2,2007,'1',1,-6,-6,'2',36,4,5756.60996,2,51987,'1',667,4,'2',50000,0,66300,15950,26550,42450,53040,17943.75,29868.75,47756.25,59670,0.153961567,98.01470588,5,336.0504202,4,148.7042334,3,44.71258589,2,172.4628313,3,76.31578947,2,'1 Adequate','Central City','2000-2009','4 20-49 units','2 2BR','2 Renter','3 150-200% Poverty','4 200%+ Poverty','2 50.1 - 100% FMR','3 GT FMR','2 30 - 50% AMI','5 80 - 100% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
62066,1217,15452,5,2007,'1',1,150000,-6,'1',1,9,2488.405077,2,24987,'1',1259,1,'1',25013,-9,62066,15049,25050,40074,49652.8,24078.4,40080,64118.4,79444.48,0.60463441,50.32344601,2,161.7072224,3,51.32908792,2,60.96627489,4,313.4502981,4,99.49535757,2,'1 Adequate','-5','2000-2009','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','3 150-200% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','4 60 - 80% AMI','2 30 - 50% AMI','.','3 50% or More','-5','-5'
62066,1058,15492,3,2009,'1',1,180000,-6,'1',1,6,3266.401361,2,135387,'1',505,1,'1',135000,-9,62066,15049,25050,40074,49652.8,19563.7,32565,52096.2,64548.64,0.044760575,272.6674024,7,873.9155693,4,319.9125709,3,83.46141464,5,347.7485675,4,127.299641,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
66300,1158,15517,3,2008,'1',1,570000,-6,'1',1,6,1983.373313,2,209801,'1',3235,1,'1',132000,-9,66300,15950,26550,42450,53040,20735,34515,55185,68952,0.185032483,395.5524133,7,1352.071921,4,452.9382556,3,209.4672027,7,930.797355,4,311.8130949,3,'1 Adequate','Central City','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','-5','-5'
64362,576,11067,1,1980,'1',1,-6,-6,'2',105,3,2045.933536,1,15048,'1',372,5,'2',0,1,64362,13514,22496,35977,45053.4,14479.28571,24102.85714,38546.78571,48271.5,0.296650718,33.4003649,2,135.9718081,2,65.3125,2,30.82564246,2,134.4537815,2,64.58333333,2,'1 Adequate','Central City','1980-1989','5 50+ units','1 1BR','2 Renter','2 100-150% Poverty','2 100-150% Poverty','2 50.1 - 100% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','2 30 - 50% AMI','1 Assisted','1 Less than 30%','-5','-5'
64362,1209,18070,4,1990,'1',1,160000,-6,'1',1,8,3321.532218,3,113974,'1',881,1,'1',69000,-9,64362,17361,28908,46243,57925.8,22376.4,37259.2,59602.08889,74659.92,0.092757997,196.7586119,7,630.7360266,4,235.6782465,3,66.74496907,4,275.7705618,4,103.0433013,3,'1 Adequate','Central City','1990-1999','1 Single Family','4 4BR+','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','4 60 - 80% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
56545,1058,12019,3,2006,'1',1,210000,-6,'1',1,5,2660.859635,1,41922,'1',1037,1,'1',41912,-9,56545,12479,20793,33210,39581.5,18540.22857,30892.45714,49340.57143,58806.8,0.296836983,105.913116,6,348.7977369,4,99.05954631,2,98.56922911,5,482.2814662,4,136.9693039,3,'1 Adequate','-5','2000-2009','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','2 50.1 - 100% FMR','5 80 - 100% AMI','6 100 - 120% AMI','.','1 Less than 30%','West','-5'
67676,1210,12005,2,1985,'1',1,-6,-6,'2',1,4,3096.004644,1,39987,'1',533,1,'2',40000,0,67676,15810,26347,41578,47373.2,20327.14286,33874.71429,53457.42857,60908.4,0.159951984,84.40848412,4,333.0862141,4,82.6177686,2,35.00338213,2,177.5926697,3,44.04958678,1,'1 Adequate','-5','1980-1989','1 Single Family','2 2BR','2 Renter','3 150-200% Poverty','4 200%+ Poverty','1 LTE 50% FMR','2 50.1 - 100% FMR','2 30 - 50% AMI','4 60 - 80% AMI','0 Not Assisted','1 Less than 30%','West','-5'
91600,1574,18070,3,1990,'1',1,650000,-6,'1',1,6,3996.478152,3,157961,'1',639,1,'1',158000,-9,91600,24750,41250,58000,82440,28600,47666.66667,67022.22222,95264,0.048543628,191.6072295,7,874.1615938,4,250.8910419,3,169.134576,7,891.6677504,4,255.9154423,3,'1 Adequate','Central City','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','7 120% AMI +','7 120% AMI +','.','1 Less than 30%','West','-5'
73559,1251,23931,3,1990,'1',1,200000,-6,'1',1,7,4410.105187,4,125961,'1',1858,1,'1',86000,-9,73559,22162,36930,54352,73559,23048.48,38407.2,56526.08,76501.36,0.177007169,171.2380538,7,526.3507584,4,251.7206235,3,77.29885539,5,247.1049085,4,118.1748114,3,'1 Adequate','-5','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','3 GT FMR','5 80 - 100% AMI','7 120% AMI +','.','1 Less than 30%','-5','-5'
55926,1025,13948,3,1990,'1',1,350000,-6,'1',1,7,4946.868585,2,32400,'1',1533,1,'1',0,-9,55926,13410,22346,35736,44740.8,17433,29049.8,46456.8,58163.04,0.567777778,72.41712263,4,232.2913679,4,79.02439024,2,198.3143976,7,826.9693316,4,281.3309326,3,'1 Adequate','Central City','1990-1999','1 Single Family','3 3BR','1 Owner','4 200%+ Poverty','4 200%+ Poverty','3 GT FMR','2 50.1 - 100% FMR','7 120% AMI +','4 60 - 80% AMI','.','3 50% or More','-5','-5'
95481,1087,12019,1,1985,'1',1,-6,-6,'3',1,3,1366.171372,1,35987,'1',0,1,'2',36000,0,95481,20084,33444,45819,66836.7,21518.57143,35832.85714,49091.78571,71610.75,0,53.84317299,3,299.4175888,4,82.76678933,2,0,1,0,1,0,1,'1 Adequate','-5','1980-1989','1 Single Family','1 1BR','2 Renter','1 LTE Poverty','4 200%+ Poverty','1 LTE 50% FMR','2 50.1 - 100% FMR','1 LTE 30% AMI','3 50 - 60% AMI','0 Not Assisted','1 Less than 30%','-5','-5'
